algorithm,run,ns_per_op
ML-DSA-87,17,210670.0
ML-DSA-87,18,209037.0
ML-DSA-87,19,233767.0
ML-DSA-87,20,150515.0
ML-DSA-87,21,229663.0
ML-DSA-87,22,248564.0
ML-DSA-87,23,165589.0
ML-DSA-87,24,198981.0
ML-DSA-87,25,260899.0
ML-DSA-87,26,263430.0
ML-DSA-87,27,227158.0
ML-DSA-87,28,140183.0
ML-DSA-87,29,253682.0
ML-DSA-87,30,131905.0
ML-DSA-87,31,109197.0
ML-DSA-87,32,233438.0
ML-DSA-87,33,188845.0
ML-DSA-87,34,276069.0
ML-DSA-87,35,242773.0
ML-DSA-87,36,233756.0
ML-DSA-87,37,149626.0
ML-DSA-87,38,263884.0
ML-DSA-87,39,178893.0
ML-DSA-87,40,107561.0
ML-DSA-87,41,174210.0
ML-DSA-87,42,290354.0
ML-DSA-87,43,292671.0
ML-DSA-87,44,339191.0
ML-DSA-87,45,545834.0
ML-DSA-87,46,251969.0
ML-DSA-87,47,119351.0
ML-DSA-87,48,102200.0
ML-DSA-87,49,150583.0
ML-DSA-87,50,127810.0
ML-DSA-87,51,195916.0
ML-DSA-87,52,133480.0
ML-DSA-87,53,162390.0
ML-DSA-87,54,162262.0
ML-DSA-87,55,284718.0
ML-DSA-87,56,233697.0
ML-DSA-87,57,243535.0
ML-DSA-87,58,191111.0
ML-DSA-87,59,258832.0
ML-DSA-87,60,357266.0
ML-DSA-87,61,217506.0
ML-DSA-87,62,169902.0
ML-DSA-87,63,187869.0
ML-DSA-87,64,132422.0
ML-DSA-87,65,225713.0
ML-DSA-87,66,213939.0
ML-DSA-87,67,126642.0
ML-DSA-87,68,347190.0
ML-DSA-87,69,242004.0
ML-DSA-87,70,247061.0
ML-DSA-87,71,226308.0
ML-DSA-87,72,210659.0
ML-DSA-87,73,330234.0
ML-DSA-87,74,109991.0
ML-DSA-87,75,171756.0
ML-DSA-87,76,162797.0
ML-DSA-87,77,118504.0
ML-DSA-87,78,229938.0
ML-DSA-87,79,131311.0
ML-DSA-87,80,249391.0
ML-DSA-87,81,174435.0
ML-DSA-87,82,181774.0
ML-DSA-87,83,242480.0
ML-DSA-87,84,146883.0
ML-DSA-87,85,159390.0
ML-DSA-87,86,235963.0
ML-DSA-87,87,175031.0
ML-DSA-87,88,200274.0
ML-DSA-87,89,106168.0
ML-DSA-87,90,222468.0
ML-DSA-87,91,107006.0
ML-DSA-87,92,191598.0
ML-DSA-87,93,273628.0
ML-DSA-87,94,259830.0
ML-DSA-87,95,265399.0
ML-DSA-87,96,198548.0
ML-DSA-87,97,166462.0
ML-DSA-87,98,247116.0
ML-DSA-87,99,221398.0
MAYO-1,0,307256.0
MAYO-1,1,293545.0
MAYO-1,2,247183.0
MAYO-1,3,258669.0
MAYO-1,4,286275.0
MAYO-1,5,206627.0
MAYO-1,6,238399.0
MAYO-1,7,205278.0
MAYO-1,8,285749.0
MAYO-1,9,182687.0
MAYO-1,10,176687.0
MAYO-1,11,187486.0
MAYO-1,12,173278.0
MAYO-1,13,181400.0
MAYO-1,14,248183.0
MAYO-1,15,163729.0
MAYO-1,16,177950.0
MAYO-1,17,195450.0
MAYO-1,18,246447.0
MAYO-1,19,191702.0
MAYO-1,20,212493.0
MAYO-1,21,184685.0
MAYO-1,22,166883.0
MAYO-1,23,154463.0
MAYO-1,24,170473.0
MAYO-1,25,155476.0
MAYO-1,26,156709.0
MAYO-1,27,192761.0
MAYO-1,28,177022.0
MAYO-1,29,224517.0
MAYO-1,30,240717.0
MAYO-1,31,390510.0
MAYO-1,32,515104.0
MAYO-1,33,347576.0
MAYO-1,34,247828.0
MAYO-1,35,243389.0
MAYO-1,36,321712.0
MAYO-1,37,239446.0
MAYO-1,38,218628.0
MAYO-1,39,204373.0
MAYO-1,40,214691.0
MAYO-1,41,279173.0
MAYO-1,42,230893.0
MAYO-1,43,231526.0
MAYO-1,44,218427.0
MAYO-1,45,204046.0
MAYO-1,46,330013.0
MAYO-1,47,242390.0
MAYO-1,48,484468.0
MAYO-1,49,240154.0
MAYO-1,50,200178.0
MAYO-1,51,226004.0
MAYO-1,52,284173.0
MAYO-1,53,207296.0
MAYO-1,54,192396.0
MAYO-1,55,174122.0
MAYO-1,56,218619.0
MAYO-1,57,265413.0
MAYO-1,58,373843.0
MAYO-1,59,326465.0
MAYO-1,60,360362.0
MAYO-1,61,262930.0
MAYO-1,62,226692.0
MAYO-1,63,260153.0
MAYO-1,64,210226.0
MAYO-1,65,262308.0
MAYO-1,66,205692.0
MAYO-1,67,151225.0
MAYO-1,68,155863.0
MAYO-1,69,179985.0
MAYO-1,70,172465.0
MAYO-1,71,216928.0
MAYO-1,72,181846.0
MAYO-1,73,177160.0
MAYO-1,74,178558.0
MAYO-1,75,150776.0
MAYO-1,76,206037.0
MAYO-1,77,227862.0
MAYO-1,78,174386.0
MAYO-1,79,180546.0
MAYO-1,80,216896.0
MAYO-1,81,163154.0
MAYO-1,82,159166.0
MAYO-1,83,229319.0
MAYO-1,84,263636.0
MAYO-1,85,446239.0
MAYO-1,86,237456.0
MAYO-1,87,270882.0
MAYO-1,88,192646.0
MAYO-1,89,219728.0
MAYO-1,90,215867.0
MAYO-1,91,230932.0
MAYO-1,92,308158.0
MAYO-1,93,231498.0
MAYO-1,94,311513.0
MAYO-1,95,235803.0
MAYO-1,96,235284.0
MAYO-1,97,218637.0
MAYO-1,98,192141.0
MAYO-1,99,230909.0
MAYO-3,0,453126.0
MAYO-3,1,322148.0
MAYO-3,2,514201.0
MAYO-3,3,423906.0
MAYO-3,4,346759.0
MAYO-3,5,687701.0
MAYO-3,6,823548.0
MAYO-3,7,883968.0
MAYO-3,8,677964.0
MAYO-3,9,485259.0
MAYO-3,10,603747.0
MAYO-3,11,528614.0
MAYO-3,12,631687.0
MAYO-3,13,445135.0
MAYO-3,14,577800.0
MAYO-3,15,432232.0
MAYO-3,16,533926.0
MAYO-3,17,470223.0
MAYO-3,18,430366.0
MAYO-3,19,433607.0
MAYO-3,20,653257.0
MAYO-3,21,423110.0
MAYO-3,22,682580.0
MAYO-3,23,550149.0
MAYO-3,24,592655.0
MAYO-3,25,937469.0
MAYO-3,26,728332.0
MAYO-3,27,845158.0
MAYO-3,28,400494.0
MAYO-3,29,446648.0
MAYO-3,30,352076.0
MAYO-3,31,564613.0
MAYO-3,32,532849.0
MAYO-3,33,573524.0
MAYO-3,34,658260.0
MAYO-3,35,565164.0
MAYO-3,36,587503.0
MAYO-3,37,879689.0
MAYO-3,38,587766.0
MAYO-3,39,601042.0
MAYO-3,40,672704.0
MAYO-3,41,494992.0
MAYO-3,42,512805.0
MAYO-3,43,495471.0
MAYO-3,44,494889.0
MAYO-3,45,594684.0
MAYO-3,46,583286.0
MAYO-3,47,465496.0
MAYO-3,48,505954.0
MAYO-3,49,1028847.0
MAYO-3,50,545539.0
MAYO-3,51,544454.0
MAYO-3,52,683305.0
MAYO-3,53,576544.0
MAYO-3,54,592988.0
MAYO-3,55,794357.0
MAYO-3,56,534921.0
MAYO-3,57,558179.0
MAYO-3,58,484939.0
MAYO-3,59,392144.0
MAYO-3,60,464138.0
MAYO-3,61,464448.0
MAYO-3,62,498536.0
MAYO-3,63,544043.0
MAYO-3,64,642564.0
MAYO-3,65,587624.0
MAYO-3,66,417569.0
MAYO-3,67,452678.0
MAYO-3,68,587433.0
MAYO-3,69,557632.0
MAYO-3,70,559441.0
MAYO-3,71,445871.0
MAYO-3,72,484271.0
MAYO-3,73,556047.0
MAYO-3,74,439640.0
MAYO-3,75,460028.0
MAYO-3,76,441053.0
MAYO-3,77,610644.0
MAYO-3,78,768427.0
MAYO-3,79,530214.0
MAYO-3,80,581979.0
MAYO-3,81,503475.0
MAYO-3,82,513827.0
MAYO-3,83,528826.0
MAYO-3,84,478504.0
MAYO-3,85,481506.0
MAYO-3,86,403981.0
MAYO-3,87,590247.0
MAYO-3,88,445935.0
MAYO-3,89,544028.0
MAYO-3,90,482003.0
MAYO-3,91,575216.0
MAYO-3,92,470844.0
MAYO-3,93,565059.0
MAYO-3,94,413962.0
MAYO-3,95,568519.0
MAYO-3,96,560328.0
MAYO-3,97,460320.0
MAYO-3,98,545148.0
MAYO-3,99,376801.0
Falcon-512,0,427344.0
Falcon-512,1,394058.0
Falcon-512,2,327590.0
Falcon-512,3,369812.0
Falcon-512,4,313012.0
Falcon-512,5,312807.0
Falcon-512,6,306138.0
Falcon-512,7,265148.0
Falcon-512,8,372387.0
Falcon-512,9,418513.0
Falcon-512,10,280791.0
Falcon-512,11,433615.0
Falcon-512,12,302403.0
Falcon-512,13,292658.0
Falcon-512,14,330399.0
Falcon-512,15,326019.0
Falcon-512,16,351540.0
Falcon-512,17,290915.0
Falcon-512,18,273274.0
Falcon-512,19,256099.0
Falcon-512,20,271798.0
Falcon-512,21,221717.0
Falcon-512,22,234332.0
Falcon-512,23,217973.0
Falcon-512,24,235531.0
Falcon-512,25,225527.0
Falcon-512,26,270049.0
Falcon-512,27,252834.0
Falcon-512,28,251555.0
Falcon-512,29,315040.0
Falcon-512,30,359336.0
Falcon-512,31,302240.0
Falcon-512,32,444993.0
Falcon-512,33,338153.0
Falcon-512,34,405558.0
Falcon-512,35,258176.0
Falcon-512,36,209443.0
Falcon-512,37,223285.0
Falcon-512,38,335989.0
Falcon-512,39,293804.0
Falcon-512,40,224154.0
Falcon-512,41,231575.0
Falcon-512,42,212830.0
Falcon-512,43,219539.0
Falcon-512,44,226633.0
Falcon-512,45,219234.0
Falcon-512,46,417014.0
Falcon-512,47,207665.0
Falcon-512,48,227111.0
Falcon-512,49,334390.0
Falcon-512,50,288604.0
Falcon-512,51,395650.0
Falcon-512,52,422564.0
Falcon-512,53,270654.0
Falcon-512,54,359697.0
Falcon-512,55,260174.0
Falcon-512,56,251392.0
Falcon-512,57,238490.0
Falcon-512,58,350387.0
Falcon-512,59,255908.0
Falcon-512,60,255860.0
Falcon-512,61,213365.0
Falcon-512,62,213602.0
Falcon-512,63,290464.0
Falcon-512,64,316430.0
Falcon-512,65,244203.0
Falcon-512,66,214932.0
Falcon-512,67,282374.0
Falcon-512,68,239959.0
Falcon-512,69,223765.0
Falcon-512,70,260535.0
Falcon-512,71,252057.0
Falcon-512,72,251525.0
Falcon-512,73,340329.0
Falcon-512,74,237702.0
Falcon-512,75,217102.0
Falcon-512,76,220828.0
Falcon-512,77,315227.0
Falcon-512,78,311656.0
Falcon-512,79,284639.0
Falcon-512,80,226907.0
Falcon-512,81,415321.0
Falcon-512,82,222296.0
Falcon-512,83,246213.0
Falcon-512,84,254981.0
Falcon-512,85,294608.0
Falcon-512,86,248416.0
Falcon-512,87,424769.0
Falcon-512,88,297118.0
Falcon-512,89,278083.0
Falcon-512,90,354823.0
Falcon-512,91,248391.0
Falcon-512,92,332574.0
Falcon-512,93,273134.0
Falcon-512,94,286316.0
Falcon-512,95,402871.0
Falcon-512,96,328325.0
Falcon-512,97,235671.0
Falcon-512,98,220456.0
Falcon-512,99,313734.0
SNOVA,0,515686.0
SNOVA,1,502156.0
SNOVA,2,454163.0
SNOVA,3,587292.0
SNOVA,4,487267.0
SNOVA,5,460895.0
SNOVA,6,504561.0
SNOVA,7,461818.0
SNOVA,8,470426.0
SNOVA,9,443275.0
SNOVA,10,531477.0
SNOVA,11,472443.0
SNOVA,12,533985.0
SNOVA,13,475000.0
SNOVA,14,420322.0
SNOVA,15,525011.0
SNOVA,16,423730.0
SNOVA,17,390908.0
SNOVA,18,459590.0
SNOVA,19,436666.0
SNOVA,20,600693.0
SNOVA,21,568774.0
SNOVA,22,744795.0
SNOVA,23,600659.0
SNOVA,24,572469.0
SNOVA,25,490565.0
SNOVA,26,684353.0
SNOVA,27,488671.0
SNOVA,28,518957.0
