goos: linux
goarch: amd64
pkg: github.com/qursa-uc3m/dnssec_pqc_plugin/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500T
BenchmarkSign
BenchmarkSign/RSA-SHA256
BenchmarkSign/ECDSA-P256-12         	       1	     97054 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     59231 ns/op	    7600 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     65587 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     76875 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     90864 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     72252 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     64775 ns/op	    7584 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     58528 ns/op	    7584 B/op	      58 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	    167015 ns/op	    7568 B/op	      59 allocs/op
BenchmarkSign/ECDSA-P256-12         	       1	     97256 ns/op	    7600 B/op	      58 allocs/op
BenchmarkSign/Ed25519
BenchmarkSign/Ed25519-12            	       1	    243526 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     88588 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     37982 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     43677 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	    105898 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     65768 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     61740 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     43828 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     52781 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	    105273 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     48581 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     48669 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     44594 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     60207 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     56079 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     42905 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     49250 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     39758 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     31123 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     64632 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     37750 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     36969 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     58150 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     34513 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     31773 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     38870 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     30823 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     31401 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     37439 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     33177 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     36420 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     36467 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     48819 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     30507 ns/op	    4888 B/op	      17 allocs/op
BenchmarkSign/Ed25519-12            	       1	     46880 ns/op	    4888 B/op	      17 allocs/op
